imo,vessel_name,gross_tonnage,type,year_build,flag
9757852,COSCO SHIPPING KILIMANJARO,154300,Container Ship,2017,"Hong Kong, China (HKG)"
9783502,COSCO SHIPPING LEO,196670,Container Ship,2018,"Hong Kong, China (HKG)"
9783538,COSCO SHIPPING LIBRA,194864,Container Ship,2018,"Hong Kong, China (HKG)"
9785811,COSCO SHIPPING LOTUS,143179,Container Ship,2019,"Hong Kong, China (HKG)"
9795622,COSCO SHIPPING NEBULA,215553,Container Ship,2018,"Hong Kong, China (HKG)"
9785770,COSCO SHIPPING ORCHID,143179,Container Ship,2019,"Hong Kong, China (HKG)"
9732606,COSCO SHIPPING PANAMA,93702,Container Ship,2016,Marshall Islands (MHL)
9785744,COSCO SHIPPING PEONY,143179,Container Ship,2018,"Hong Kong, China (HKG)"
9789647,COSCO SHIPPING PISCES,196670,Container Ship,2019,"Hong Kong, China (HKG)"
9795660,COSCO SHIPPING PLANET,215553,Container Ship,2019,"Hong Kong, China (HKG)"
9731951,COSCO SHIPPING RHINE,94623,Container Ship,2017,"Hong Kong, China (HKG)"
9785809,COSCO SHIPPING ROSE,143179,Container Ship,2018,"Hong Kong, China (HKG)"
9783473,COSCO SHIPPING SAGITTARIUS,194864,Container Ship,2018,"Hong Kong, China (HKG)"
9785794,COSCO SHIPPING SAKURA,143179,Container Ship,2018,"Hong Kong, China (HKG)"
9789635,COSCO SHIPPING SCORPIO,196670,Container Ship,2018,"Hong Kong, China (HKG)"
9731949,COSCO SHIPPING SEINE,94623,Container Ship,2017,"Hong Kong, China (HKG)"
9795646,COSCO SHIPPING SOLAR,215553,Container Ship,2019,"Hong Kong, China (HKG)"
9795658,COSCO SHIPPING STAR,215553,Container Ship,2019,"Hong Kong, China (HKG)"
9783459,COSCO SHIPPING TAURUS,194864,Container Ship,2018,"Hong Kong, China (HKG)"
9731937,COSCO SHIPPING THAMES,94623,Container Ship,2017,"Hong Kong, China (HKG)"
9795610,COSCO SHIPPING UNIVERSE,215553,Container Ship,2018,"Hong Kong, China (HKG)"
9783461,COSCO SHIPPING VIRGO,194864,Container Ship,2018,"Hong Kong, China (HKG)"
9731925,COSCO SHIPPING VOLGA,94623,Container Ship,2017,"Hong Kong, China (HKG)"
9221102,COSCO SINGAPORE,65531,Container Ship,2001,United Kingdom (GBR)
9516442,COSCO SPAIN,153666,Container Ship,2014,"Hong Kong, China (HKG)"
9518347,COSCO SURABAYA,40465,Container Ship,2013,"Hong Kong, China (HKG)"
9355575,COSCO TAICANG,115933,Container Ship,2009,"Hong Kong, China (HKG)"
9448798,COSCO THAILAND,91051,Container Ship,2010,"Hong Kong, China (HKG)"
9484390,COSCO VALENCIA,40465,Container Ship,2013,"Hong Kong, China (HKG)"
9484405,COSCO VENICE,40465,Container Ship,2013,"Hong Kong, China (HKG)"
9448815,COSCO VIETNAM,91051,Container Ship,2011,"Hong Kong, China (HKG)"
9484417,COSCO WELLINGTON,40465,Container Ship,2013,"Hong Kong, China (HKG)"
9403011,COSCO YINGKOU,35988,Container Ship,2007,"Hong Kong, China (HKG)"
9302956,COSMOS,26671,Container Ship,2006,Liberia (LBR)
9687588,COYHAIQUE,93685,Container Ship,2015,Liberia (LBR)
9440796,CPO BALTIMORE,41358,Container Ship,2009,Liberia (LBR)
9450387,CPO BREMEN,91203,Container Ship,2009,Liberia (LBR)
9450375,CPO HAMBURG,91203,Container Ship,2009,Liberia (LBR)
9440813,CPO NORFOLK,41358,Container Ship,2009,Liberia (LBR)
9401271,CRETE I,75604,Container Ship,2009,Liberia (LBR)
9210098,CRISTINA STAR,37113,Container Ship,2001,Liberia (LBR)
9723277,CROATIA,94684,Container Ship,2016,Malta (MLT)
9799915,CRYSTAL ARROW,9993,Container Ship,2017,Isle of Man (IMN)
9219355,CS DISCOVERY,35824,Container Ship,2001,Liberia (LBR)
9627899,CSAV TOCONAO,96628,Container Ship,2013,Liberia (LBR)
9627904,CSAV TRAIGUEN,96628,Container Ship,2013,Liberia (LBR)
