imo,vessel_name,gross_tonnage,type,year_built,flag
9449699,VEGA JUNO,9996,Container Ship,2008,Liberia (LBR)
9330252,VEGA KAPPA,9940,Container Ship,2007,Liberia (LBR)
9308596,VEGA OMIKRON,9981,Container Ship,2005,Liberia (LBR)
9403449,VEGA SACHSEN,9957,Container Ship,2008,Liberia (LBR)
9491599,VEGA SCORPIO,9999,Container Ship,2010,Liberia (LBR)
9330240,VEGA SIGMA,9940,Container Ship,2007,Liberia (LBR)
9306823,VEGA VELA,9931,Container Ship,2005,Liberia (LBR)
9319569,VEGA VENTO,9910,Container Ship,2005,Liberia (LBR)
9336347,VEGA ZETA,9957,Container Ship,2006,Liberia (LBR)
9406180,VELA,41225,Container Ship,2009,Liberia (LBR)
9400203,VENETIA,42609,Container Ship,2010,Portugal (MAR) (PMD)
9367853,VENIAMIN KHLOPIN,7170,Container Ship,2007,Russia (RUS)
9337365,VENTO DI MAESTRALE,17687,Container Ship,2007,Malta (MLT)
9305908,VENTO DI SCIROCCO,17665,Container Ship,2005,Malta (MLT)
9379351,VENTO DI TRAMONTANA,17687,Container Ship,2007,Malta (MLT)
9432220,VERA RAMBOW,17488,Container Ship,2008,Germany (DEU)
9415296,VICTOR,32269,Container Ship,2008,Liberia (LBR)
9430155,VICTORIA L,15636,Container Ship,2009,Liberia (LBR)
